max_samples/max_features/n_estimators/max_depth,fit,eval
0.8/auto/50/9,0.7084649177289578,0.8884659267246988
0.2/auto/30/9,0.8080095095056662,0.8902823525315547
0.2/auto/50/9,0.8029959016317889,0.8906653536498735
0.5/auto/50/9,0.7386061145090976,0.8915293988357885
0.8/auto/30/9,0.7127846750811232,0.8920625882634885
0.5/auto/30/9,0.7395491335264592,0.8927732540603937
0.8/sqrt/30/9,0.7624277917497704,0.8929150691405727
0.8/sqrt/50/9,0.7593562763786051,0.8938377639748187
0.8/auto/50/7,0.7780920416931042,0.8977213734783076
0.8/auto/30/7,0.7807027954701695,0.8990663603825371
0.5/auto/50/7,0.7916591677599246,0.8998951511940076
0.5/auto/30/7,0.7922273722041843,0.9022714757515817
0.2/auto/50/7,0.8370433846249445,0.9059997212875973
0.5/sqrt/50/9,0.7906143182126129,0.9060198221032225
0.2/auto/30/7,0.8417470825399151,0.9086328976190213
0.2/sqrt/50/9,0.8430546092334638,0.9104346872319288
0.5/sqrt/30/9,0.7941723322818669,0.9105811146211537
0.5/sqrt/30/7,0.840965159588912,0.9117031188900628
0.8/sqrt/30/7,0.8329143314913219,0.9119067204656703
0.5/sqrt/50/7,0.8420412337375907,0.9138948991165405
0.8/sqrt/50/7,0.8289746359066497,0.9141176533718818
0.2/sqrt/30/9,0.8505842559740917,0.921571441832675
0.5/auto/50/5,0.8548637839631534,0.9251919316299537
0.8/auto/50/5,0.852672704000612,0.9260026341869144
0.5/auto/30/5,0.8545324746595243,0.9260063727112462
0.2/auto/50/5,0.8767610290590255,0.9265787474037754
0.8/auto/30/5,0.8553554786686849,0.9287651037111532
0.2/sqrt/30/7,0.8812371185553987,0.930178927717458
0.2/sqrt/50/7,0.8791789858016401,0.9304549798844299
0.2/auto/30/5,0.8827658683837741,0.9327086357752061
0.8/sqrt/50/5,0.9035024148523575,0.9544700868858407
0.5/sqrt/50/5,0.9096271381377032,0.9552105633993238
0.5/sqrt/30/5,0.9116969444235332,0.9556814331489575
0.8/sqrt/30/5,0.9098393576786536,0.9611626579476886
0.2/sqrt/50/5,0.9269387923654935,0.9612111249272374
0.2/sqrt/30/5,0.9274480187422846,0.9654463961931561
